// HASH_VALUE 48835A17757D34E5
// INDEX 0
abandon_mission	[&TSK&Вы прервали выполнение задания.]

// HASH_VALUE 0D4FAC4FBF4F87C3
// INDEX 6787
r_07_05_p_bc_kami_1a	[Твоя сила велика, хомин. Теперь тебе нужно сразиться с $chief_1$.{break}Найти его можно к югу от $lieu_fount.placegen$.{break}Берегись, многие хомины уже пытались победить его, но никто не справился.]

// HASH_VALUE EBBE2DE2064AD483
// INDEX 6788
r_07_05_p_ldf_intro_1	[Если ты союзник Ками, мы обратимся к тебе за помощью.{break}Воинственные хомины подвергают опасности естественное равновесие природы. Мы очень долго терпели бандитов из $lieu_fount.placegen$, но теперь они начали уничтожать природные ресурсы и животных в области $lieu_restingwater$.{break}Их предводитель очень любит воевать, от этого они становятся все более агрессивными. Твой долг - остановить безумного вождя. Если поможешь нам, мы благословим тебя и укрепим твое тело.{break}Отыщи Ками, который живет в области $lieu_restingwater$, наблюдая за округой $lieu_fount.placegen$. Он скажет тебе важные вещи.]

// HASH_VALUE 420A10EACE4C5804
// INDEX 6789
r_07_05_p_ovl_kill_group_1	[Уничтожьте банду]

// HASH_VALUE 06D4E148948A7545
// INDEX 6790
r_08_16_mis_desc	[$givervar$ в окрестностях $majesticgarden.placegen$ хочет покарать племя $sacredsap.membergen$ и заставить их подчиниться власти Каравана.]

// HASH_VALUE 7CEC51F2F69D89F9
// INDEX 6791
r_08_16_mis_title	[Показательное наказание]

// HASH_VALUE 745B5DEFBD6CB925
// INDEX 6792
r_08_16_m_t2_debrief_1	[Военный вождь мертв]

// HASH_VALUE 3338BDF292DFA642
// INDEX 6793
r_08_16_p_bc_debrief	[Превосходно, хомин! Теперь эти фанатики понимают, с кем они связались. Ты сослужил хорошую службу Каравану и получишь наше благословение - оно будет тебе весьма полезно. Помимо этого, я дам тебе янтарный куб, он повествует о важности Каравана для истории Атиса.]

// HASH_VALUE 82775A32B28EE422
// INDEX 6794
r_08_16_p_ldf_intro_1	[Хомин, тебе пришло время на деле доказать свою верность Джене и ее последователям. Племя $sacredsap$ из $fleetinggarden.placegen$ отказывается подчиниться нашей власти. Это недопустимо и не должно остаться безнаказанным!{break}Тебе выпала честь быть нашим посланником и показать последователям Ками, что отрицание Джены не приводит ни к чему хорошему. В награду за твою службу ты получишь благословение, которое увеличит твою силу.{break}Твоя задача - устроить засаду на одного из военных вождей племени. Для того, чтобы выманить вождя из лагеря, убивай добытчиков ресурсов, которые принадлежат к племени $sacredsap$. Это должно заставить вождя покинуть свое логово. Когда он выйдет наружу, убей его и его свиту. Не проявляй милосердия, иначе варвары не ничего не поймут. Не разочаруй меня, хомин!]

// HASH_VALUE B8DC19EC36CBA421
// INDEX 6795
r_08_16_p_ovl_attack_chief_1	[Убейте военного вождя]

// HASH_VALUE 15B0564DC4BE903F
// INDEX 6796
r_08_16_p_ovl_attack_first_1	[Убейте первую группу добытчиков племени.]

// HASH_VALUE 15914D5A81BE903F
// INDEX 6797
r_08_16_p_ovl_attack_second_1	[Убейте вторую группу добытчиков племени.]

// HASH_VALUE FF0CE4B7706A920B
// INDEX 6798
r_08_16_p_ovl_visit_chief_place	[Найдите военного вождя.]

// HASH_VALUE 90E16A3B054EFE5A
// INDEX 6799
r_08_16_p_ovl_visit_first_place	[Найдите первую группу добытчиков племени.]

// HASH_VALUE 14C09F2E054EFE5A
// INDEX 6800
r_08_16_p_ovl_visit_second_place	[Найдите вторую группу добытчиков племени.]

// HASH_VALUE 1EB91EF979275579
// INDEX 6801
r_09_09_mis_des	[Мудрец из $davae.placegen$ хочет устроить символическое паломничество в честь изгнания матисов.]

// HASH_VALUE C8E3BA1DD452281F
// INDEX 6802
r_09_09_mis_title	[Паломничество к месту, где матисы вышли на поверхность после того, как изгнание подошло к концу]

// HASH_VALUE 9B168A783DA34F78
// INDEX 6803
r_09_09_p_bc_debrief_1	[Итак, тебе удалось отыскать место, в котором творилась история нашего народа? Я вижу в твоих руках землю, которую я просил принести.{break}Я обучу тебя специальной технике, которая позволит тебе превращать эту землю в сэп. Возьми этот янтарный куб, он позволит тебе побольше узнать о периоде изгнания в Изначальные Корни.]

// HASH_VALUE 6D1B61BC4F49B598
// INDEX 6804
r_09_09_p_ldf_brief_1	[Во время изгнания в Изначальные Корни мы научились, как пользоваться силами природы для того, чтобы усиливать свой магический потенциал. Если тебе удастся собрать немного редкой почвы, которую мы использовали в то время, я научу тебя, как можно это сделать.\n
	Тебе нужно отправиться на место, где матисы вышли на поверхность когда подземное заключение подошло к концу и принести мне немного редкой почвы, которую можно там найти.]

// HASH_VALUE 7135B8B968261FA3
// INDEX 6805
r_09_19_mis_desc	[Найдите и ограбьте вражеский караван, перевозящий сырье.]

// HASH_VALUE 3B2C0DE03CDD1AFB
// INDEX 6806
r_09_19_mis_title	[Вражеский караван]

// HASH_VALUE 03F82F3844B9EFD1
// INDEX 6807
r_09_19_p_bc_debrief	[Тебе удалось выполнить задание! Отличная работа, $self$. Как мы и договаривались, ты можешь оставить себе свою долю добычи. Также я научу тебя особому приему, о котором я тебе говорил. В дополнение к этому - возьми этот янтарный куб, он повествует о временах, когда хомины были вынуждены скрываться в подземных глубинах Атиса.]

// HASH_VALUE 925FC4FF6D5B0B2E
// INDEX 6808
r_09_19_p_bc_parler_chef	[Итак... тебя прислал $givervar$. Как и любой другой $faction.member$, он слишком доверчив. Его шпионы одурачили его.{break}Тебе нужно немедленно отправляться на юг. Караван идет не с континента $faction_fyros.membergen$, но с континента $faction_tryker.membergen$, и уже преодолел значительную часть пути.{break}Тебе придется действовать быстро, до нас дошли слухи, что воины из племени $fact_slashburn.name$ должны присоединиться к каравану в $lieu_hereticshovel$.{break}Тебе нужно перехватить караван как только он окажется на территории $faction$, у самого вихревого поля. Поспеши! Если  ты потерпишь неудачу, пострадает не один $faction.member$.]

// HASH_VALUE D05CCB727082B9A0
// INDEX 6809
r_09_19_p_ldc_intro	[Приветствую тебя, $self$. Ты производишь впечатление хомина, которому можно доверять. Внимательно слушай, что я тебе скажу, я буду говорить тихо, чтобы никто не мог подслушать наш разговор...{break}У меня важное поручение для тебя. Надежный источник информации сообщил мне, что враждебное $faction.memberdat$ племя $fact_slashburn.name$ отправило группу добытчиков ресурсов на континент $faction_fyros.membergen$ для того, чтобы получить сырье, необходимое для изготовления оружия.{break}По всей видимости, группа охраняется. Они не хотят, чтобы их обнаружил какой-нибудь $faction.member$.{break}Мы можем убить сразу двух зайцев - обогатиться и нанести поражение племени $fact_slashburn.name$. Не думаю, что пройдет много времени до того, как караван отправится в обратное путешествие. Пришло время действовать: перехвати караван, убей всех, кто в него входит и завладей грузом.{break}Половину добычи можешь оставить себе. Мне известно, что это поручение опасно, но в награду я обучу тебя специальной технике, которая повысит твою физическую крепость.{break}Теперь отправляйся в область $lieu_hiddensource$. Если повезет, тебе удастся перехватить караван именно там. По дороге на место, зайди в лагерь племени $fact_borderguards.name$, расположенный к югу от $lieu_knolldissent.placegen$ и поговори с их вождем, $chef_borderguards$. Не сомневаюсь, что он будет знать многое о точном местонахождении каравана.{break}Для того, чтобы выполнить это задание, тебе явно понадобится помощь. Если у тебя есть знакомые бойцы, обратись к ним... Желаю удачи, $self$!]

// HASH_VALUE 035B6DEB468D7EE2
// INDEX 6810
r_09_19_p_ovl_kill_convoi	[Уничтожьте караван]

// HASH_VALUE 1DD45B89C582DE60
// INDEX 6811
r_09_19_p_t2_parler_chef	[Есть ли у тебя информация о вражеском караване?]

// HASH_VALUE CE8DBCB8C3CC5D50
// INDEX 6812
r_10_10_mis_desc	[Убейте животных, зараженных гуу, чтобы зараза не могла распространиться.]

// HASH_VALUE 544CD0A848D0B080
// INDEX 6813
r_10_10_mis_title	[Тень гуу]

// HASH_VALUE 2609AA42BED0A5C0
// INDEX 6814
r_10_10_p_bc_debrief	[Да благословит тебя Ма-Дук, $self$. Возьми этот янтарный куб, он содержит информацию об откровении, которое получил наш народ. Помимо этого, я обучу тебя новому навыку, который повысит твою стойкость и поможет тебе в предстоящих боях.]

// HASH_VALUE 55DA59D248D51EB3
// INDEX 6815
r_10_10_p_bc_hunter_1	[Увы, тлетворное влияние гуу уже достигает ворот нашего города. $givervar$ считает, что тебе удастся положить конец этому безобразию? Надеюсь, что ты оправдаешь его доверие.{break}Я видел зараженных животных к северу от $village.placegen$. Оружие к бою! Желаю удачной охоты!]

// HASH_VALUE 8AFB912E864CE218
// INDEX 6816
r_10_10_p_ldf_intro_1	[Послушай меня, $self$. Когда мы покинули Изначальные Корни, желая поселиться в этом регионе, нам пришлось столкнуться с гуу. Эта вредоносная субстанция заразила множество животных и растений, ставя под угрозу успех нашего строительства.{break}Мы были беззащитны, но Великий Прародитель Ма-Дук осиял нас своим божественным светом и указал нам путь прозрения. Он наделил нас мужеством, необходимым для того, чтобы сражаться с гуу и с тех пор мы бесстрашно отстаиваем природное равновесие в наших землях, да и во всем Атисе.{break}В настоящее время нам удалось отбросить гуу назад, но зараженные животные все еще бродят в округе и болезнь снова может распространиться. Если тебе удастся отвратить эту опасность, ты сможешь узнать побольше об истории Зораи и откровениях Ма-Дук, а также получишь возможность дополнительно укрепить свое тело.{break}Найди $hunter$, он охотится в округе и сможет сказать тебе, встречались ли ему зараженные животные.]

// HASH_VALUE 3DEBBA03439D24FE
// INDEX 6817
r_10_10_p_ovl_kill_group_goo	[Убейте зараженных животных]

// HASH_VALUE C9D57A8B4B3034A2
// INDEX 6818
r_10_10_p_t2_debrief_1	[Мне удалось покончить с зараженными животными.]

// HASH_VALUE 8B6F0539BC5D1DDE
// INDEX 6819
r_10_10_p_t2_hunter_1	[Тебе попадались зараженные животные?]

// HASH_VALUE 9873DD7D5A517553
// INDEX 6820
r_10_11_mis_desc	[Для того, чтобы доказать крепость своей веры, вам придется исполнить ритуал Ками.]

// HASH_VALUE B9ADF2E283DA1DF7
// INDEX 6821
r_10_11_mis_title	[Учение веры]

// HASH_VALUE 03670C71A1D43C49
// INDEX 6822
r_10_11_p_bc_debrief_m	[Это очень радует меня, $player$. Ками и я восхищены тем, что со временем твоя вера нисколько не ослабла. Ты достоин того, чтобы узнать что-то новое об истории нашей религии. Возьми этот янтарный куб и изучи его на досуге. Также прими благословение Ками, оно сделает твой сэп чистым и обильным, как сок молодого дерева в пору цветения.]

// HASH_VALUE 0862E53227BA645D
// INDEX 6823
r_10_11_p_bc_debrief_f	[Это очень радует меня, $player$. Ками и я восхищены тем, что со временем твоя вера нисколько не ослабла. Ты достойна того, чтобы узнать что-то новое об истории нашей религии. Возьми этот янтарный куб и изучи его на досуге. Также прими благословение Ками, оно сделает твой сэп чистым и обильным, как сок молодого дерева в пору цветения.]

// HASH_VALUE 07C2DC6B6D025720
// INDEX 6824
r_10_11_p_bc_give	[Твоя преданность нам велика, $self$. Ками принимают твое приношение. Теперь тебе нужно поговорить с $givervar$.]

// HASH_VALUE EF78751F50B716B2
// INDEX 6825
r_10_11_p_bc_learn	[Если ты будешь следовать моим инструкциям, тебе без труда удастся найти все необходимые материалы. Тебе нужно собрать $qty_forage_1$ $mp_to_forage_1.somgen$ и $qty_forage_2$ $mp_to_forage_2.somgen$. После этого потребуется найти $qty_forage_3$ $mp_to_forage_3.somgen$ или $qty_loot$ $item_to_loot.somgen$.{break}Все эти материалы можно найти в окрестностях $region_maiden.placegen$. Месторождение $mp_to_forage_1.somgen$ можно найти метрах в ста на восток от $place_op_11.placegen$. Метрах в ста пятидесяти на юго восток от $place_op_14.placegen$ я видел месторождение $mp_to_forage_2.somgen$.{break}Месторождение $mp_to_forage_3.somgen$, о котором я знаю, находится на расстоянии ста метров к северу от $place_op_08$. Это все, что я могу тебе рассказать. Желаю удачного путешествия!]

// HASH_VALUE 649FFE4DD3DD5985
// INDEX 6826
r_10_11_p_bc_rituel	[Ками счастливы, что хомины следуют их заветам. Тебе нужно сделать магические рукавицы, и налить этими рукавицами сэп для меня. Это позволит тебе выразить свое уважение к магии Ками.{break}$marchand_2hm$ знает, как изготовить рукавицы, отправляйся к нему и поговори с ним.]

// HASH_VALUE 3F552452ECE0F009
// INDEX 6827
r_10_11_p_ldf_intro	[Приветствую тебя, $player$! Насколько тебе известно мы, Зораи, поклоняемся Ками и свято чтим все их заветы. Прошло уже немало времени с тех пор, как мы отвергли Караван и учение Джены. Свою верность Ками мы доказываем не только каждым днем своего существования, но и тем, что предлагаем им особые приношения. Если ты тоже хочешь доказать свою верность Ками и народу Зораи, это лучше всего сделать путем проведения такого ритуала. Когда ритуал будет завершен, ты сможешь получить благословение Ками, и сэп внутри тебя будет расти и крепнуть вместе с твоей верой. Я дам тебе янтарный куб, который даст тебе дополнительное знание о фундаментальных принципах нашей религии. Для того, чтобы побольше узнать о церемонии, поговори с $kami_master$. Пусть Ма-Дук укажет тебе путь, $player$!]

// HASH_VALUE 06AF05DAF7CA9408
// INDEX 6828
r_10_11_p_t2_debrief	[Ритуал завершен]

// HASH_VALUE 0E31E96D1A3D6B3C
// INDEX 6829
r_10_11_p_t2_intro	[Я хочу сделать ритуальное приношение Ками.]

// HASH_VALUE 7BFE2136F62C3CF7
// INDEX 6830
r_10_11_p_t2_learn	[Как мне изготовить усилители магии?]

// HASH_VALUE 42C0131902FE4AD2
// INDEX 6831
r_10_17_mis_desc	[Последнее время племя $shadow_runners$ извлекает из земли природные ресурсы с таким рвением, что это вызвало гнев Ками в этом регионе. Если тебе удастся заставить их снизить скорость добычи ресурсов, это очень поможет народу Зораи.]

// HASH_VALUE DD767E8E07AE53BC
// INDEX 6832
r_10_17_mis_title	[Зораи помогают племени $shadow_runners$]

// HASH_VALUE 7AAB80E83C7E7FD5
// INDEX 6833
r_10_17_m_t2_intendant_1	[Вам нужен добытчик ресурсов?]

// HASH_VALUE B9CB6901BBBC6AE1
// INDEX 6834
r_10_17_m_t2_kami_1	[Теперь вы довольны, Ками?]

// HASH_VALUE 7B6C85E13CBCE209
// INDEX 6835
r_10_17_m_t2_sage_1	[Я здесь, чтобы помочь вам.]

// HASH_VALUE B4F9E5FE34AD4907
// INDEX 6836
r_10_17_m_t2_sage_1a_m	[Я нашел то, что вы просили.]

// HASH_VALUE B4F9E5FE34FD6107
// INDEX 6837
r_10_17_m_t2_sage_1a_f	[Я нашла то, что вы просили.]

// HASH_VALUE 6CAB7AEAC0CBB112
// INDEX 6838
r_10_17_o_es_sage_1	[Сопроводите мудреца к Ками.]

// HASH_VALUE 8DCC0E745603210E
// INDEX 6839
r_10_17_p_bc_debrief_1	[Премного благодарны! Теперь мы доольны. Ты понимаешь, что Атис должен быть здоровым. В награду за твои труды мы научим тебя, как быть нашим другом.]

// HASH_VALUE B9C07F5246DF000F
// INDEX 6840
r_10_17_p_bc_go_kamis_1	[Великолепно! Теперь нам нужно найти Ками.]

// HASH_VALUE 7526B8072550F478
// INDEX 6841
r_10_17_p_bc_intendant_1	[Ками в области $maiden_grove$ очень разгневаны действиями племени $shadow_runners$. Мы отправили туда мудреца, который знает, как успокоить их гнев, но для проведения этого ритуала ему понадобятся редкие природные ресурсы. Найди его в области $maiden_grove$, возле лагеря племени $shadow_runners$.]

// HASH_VALUE E4B3018E7D3011E9
// INDEX 6842
r_10_17_p_bc_sage_1	[Ками очень разгневаны и не позволят племени $shadow_runners$ добывать природные ресурсы, пока мы не вмешаемся. Но для того, чтобы провести нужный ритуал, мне требуется особое сырье.{break}Времени мало - ведь племени $shadow_runners$ нужно сырье для изготовления оружия. Если нам не удастся утихоирить Ками в самое ближайшее время, наши отношения с племенем серьезно пострадают.]

// HASH_VALUE 9D2FD759199DCEE0
// INDEX 6843
r_10_17_p_bc_sage_2answer_ok	[Очень хорошо, теперь я смогу провести ритуал. Помоги мне сосредоточиться.]

// HASH_VALUE 9E3D39F4A5554E72
// INDEX 6844
r_10_17_p_bc_sage_3	[Мне нужно немного $MP_to_forage_1.somgen$. Достань это для меня, чтобы я мог провести ритуал примирения.]

// HASH_VALUE AAB85C859152A053
// INDEX 6845
r_10_17_p_ldf_intro_1	[Последнее время племя $shadow_runners$ в области $maiden_grove$ добывает такое большое количество природных ресурсов, что Ками разгневались и не позволяют им получить сырье, необходимое для выживания племени.{break}Интендант хочет помочь им и использовать ситуацию для того, чтобы научить племя уважению к Атису. Для этого необходим добытчик ресурсов, способный поддерживать мирные отношения с Ками.]

// HASH_VALUE 0984C91F22C3B216
// INDEX 6846
r_11_10_mis_desc	[Сражайтесь с китинами в Имперских дюнах для того, чтобы воздать дань уважения Церакосу II и развитию ремесленного искусства файросов.]

// HASH_VALUE 7D2985EBBD9E0107
// INDEX 6847
r_11_10_mis_title	[Испытание Церакоса]

// HASH_VALUE F35C989310A80D2C
// INDEX 6848
r_11_10_p_bc_report_m	[Твоя отвага производит на меня впечатление. Ты доказал, что хранишь в своем сердце уважение к Церакосу. То, что я тебе дам, подтверждает, что тебе удалось пройти испытание. Познай тайны ремесленного искусства файросов, и тогда бессмертная память об императоре будет проявляться во всех предметах, которые ты изготовишь.]

// HASH_VALUE 60DAEA9B5B3B8108
// INDEX 6849
r_11_10_p_bc_report_f	[Твоя отвага производит на меня впечатление. Ты доказала, что хранишь в своем сердце уважение к Церакосу. То, что я тебе дам, подтверждает, что тебе удалось пройти испытание. Познай тайны ремесленного искусства файросов, и тогда бессмертная память об императоре будет проявляться во всех предметах, которые ты изготовишь.]

// HASH_VALUE 5B7133E0A42247A7
// INDEX 6850
r_11_10_p_ldc_intro_1	[Добро пожаловать, хомин. Ты хочешь доказать свою воинскую доблесть и свою верность народу файросов? Без сомнения, ты знаешь о Церакосе II, императоре, который бесстрашно сражался с китинами? Он пал в бою, но его самоотверженность позволила бессчетному количеству хоминов выжить во время великого Исхода. Благодаря ему сохранились все знания, которыми обладали дети пустыни, и величайшие ремесленники файросов каждый день славословят его имя.{break}Как и этим ремесленникам, тебе нужно воздать дань уважения Церакосу. Убей в его честь $race_kipee.p$, которые бродят в Имперских дюнах. Если ты справишься, я открою тебе секрет древнего ремесла, который мы получили благодаря императору.{break}Чтобы упростить твою задачу, я сообщу тебе имена нескольких охотников, которые живут здесь, в городе. Они часто охотились на китинов и могут рассказать тебе многое о различных видах $race_kipee.p$, обитающих в округе.]

// HASH_VALUE 1F84EF47C9BE1E5B
// INDEX 6851
r_11_10_p_t2_chasseur_1	[Я хочу побольше узнать о природе $creature_to_kill_1.creagen$.]

// HASH_VALUE B1CFDFEE3AABD10A
// INDEX 6852
r_11_10_p_t2_chasseur_1_1	[Самое важное, что тебе нужно запомнить это то, что все китины очень опасны! Некоторые из них кажутся относительно безвредными, но и это впечатление обманчиво...{break}Этот $creature_to_kill_1.screagen$ - самый слабый противник из всех $race_kipee.creagen$, которые обитают в этих местах. Убей хотя бы одного из них для того, чтобы узнать о его слабых и сильных местах.]

// HASH_VALUE 4C99A2D57E26D828
// INDEX 6853
r_11_10_p_t2_chasseur_2_m	[Я от $givervar$, хочу поговорить с тобой о природе $creature_to_kill_2.creagen$.]

// HASH_VALUE 4C99A2D57E26D828
// INDEX 6854
r_11_10_p_t2_chasseur_2_f	[Я от $givervar$, хочу поговорить с тобой о природе $creature_to_kill_2.creagen$.]

// HASH_VALUE 96AFE80DA269D67D
// INDEX 6855
r_11_10_p_t2_chasseur_2_1_m	[Приветствую тебя. Насколько я понимаю, ты здесь потому, что $givervar$ хочет, чтобы ты охотился на $race_kipee.p$! Эти создания бродят повсюду, так что действуй, не откладывая это на потом. Я расскажу тебе, где можно найти нескольких $creature_to_kill_2.creagen$. Будь осторожен, убить их непросто.]

// HASH_VALUE BED89A0155CD6D33
// INDEX 6856
r_11_10_p_t2_chasseur_2_1_f	[Приветствую тебя. Насколько я понимаю, ты здесь потому, что $givervar$ хочет, чтобы ты охотилась на $race_kipee.p$! Эти создания бродят повсюду, так что действуй, не откладывая это на потом. Я расскажу тебе, где можно найти нескольких $creature_to_kill_2.creagen$. Будь осторожна, убить их непросто.]

// HASH_VALUE 9C746FB81B109A6E
// INDEX 6857
r_11_10_p_t2_chasseur_3	[Можешь ли ты рассказать мне о природе $creature_to_kill_3.creagen$?]

// HASH_VALUE F5FF23E991B42F73
// INDEX 6858
r_11_10_p_t2_chasseur_3_1	[Это очень опасные соперники. Ты хочешь сразиться с ними? Полагаю, $givervar$ попросил тебя сделать это для того, чтобы воздать дань уважения памяти Церакоса. От всей души желаю тебе удачи! Пользуйся своим компасом для того, чтобы найти то, что нужно. Убей одного из этих зверей и возвращайся к $givervar$.]

// HASH_VALUE 324BD0DF481DE51B
// INDEX 6859
r_11_10_p_t2_debrief_1	[Моя охота подошла к концу.]

// HASH_VALUE CB79B06101BC7827
// INDEX 6860
r_11_12_mis_desc	[Файросы славятся своим ремесленным мастерством, основанным на владении ковкой и использовании огня. Мудрец из Фессоса предлагает вам совершить паломничество, чтобы узнать об истоках мастерства файросов.]

// HASH_VALUE FE6C44F6706D11D6
// INDEX 6861
r_11_12_mis_title	[Укол драконьего пламени]

// HASH_VALUE 692E024209BC9336
// INDEX 6862
r_11_12_m_bc_chief_1	[Ты хочешь, чтобы Огонь судил тебя... Хмм, если ты хочешь выполнить этот ритуал, приготовься к тому, что удар драконьего пламени обратит тебя в пепел если ты не окажешься достоин чего-то иного. Помни - это пламя Великого Дракона!{break}Если ты все еще хочешь доверить свою жизнь суждению пламени, тебе нужно пройти немного в этом направлении. Пламя само отыщет тебя.{break}Если вдруг огонь оставит на тебе отметину, поспеши к мудрецу из Фессоса, пока твоя кожа не очистилась вновь.]

// HASH_VALUE F8ADD101736CEE28
// INDEX 6863
r_11_12_m_t2_chief_1	[Я хочу, чтобы пламя судило меня.]

// HASH_VALUE C8BC29E4F4AD1502
// INDEX 6864
r_11_12_m_t2_sage_1	[Огонь свершил свой суд.]

// HASH_VALUE BB2555870E6FF6DC
// INDEX 6865
r_11_12_o_t2_sage_1	[Отправляйтесь к $giver$ и поговорите с ним пока отметина, оставленная огнем, не исчезла.]

// HASH_VALUE 91A9F0375360C278
// INDEX 6866
r_11_12_p_bc_debrief_1_m	[Очень хорошо, $self$, ты доказал, что достоин владеть секретами наших предков. В дополнение к этому, возьми этот янтарный куб, который содержит описание технологий файросов.]

// HASH_VALUE E4AA084CD47BD150
// INDEX 6867
r_11_12_p_bc_debrief_1_f	[Очень хорошо, $self$, ты доказала, что достоин владеть секретами наших предков. В дополнение к этому, возьми этот янтарный куб, который содержит описание технологий файросов.]

// HASH_VALUE 867A7D9CA4EC08E7
// INDEX 6868
r_11_12_p_bc_sage_1	[Клянусь духом Дракона, пламя оставило на тебе отметину! Теперь настало время завершить ритуал.]

// HASH_VALUE 22C4246AC222310E
// INDEX 6869
r_11_12_p_ldf_intro_1	[Я могу с гордостью утверждать, что благодаря нашему умению обращаться с огнем, технология файросов - самая развитая технология на Атисе.{break}Мы также владеем секретным умением закалять оружие и доспехи в огне, что делает их еще более огнеупорными.{break}Для того, чтобы овладеть этой технологией, тебе придется встретиться лицом к лицу с Пламенем Дракона, которое будет судить тебя и вынесет свой вердикт.{break}Тебе поможет племя Наблюдателей, которое наблюдает за огнем в Сожженном лесу. Когда ты справишься с задачей, возвращайся ко мне для того, чтобы продолжить обучение.]

// HASH_VALUE 2601836B7FAEC9DE
// INDEX 6870
r_11_17_mis_desc	[В наше время, файросы отмечают Великое Нашествие, проводя марафон через пустыню.]

// HASH_VALUE 41A885E4BDCD76FA
// INDEX 6871
r_11_17_mis_title	[Испытание Офловака]

// HASH_VALUE 48AE18AA32EC28EA
// INDEX 6872
r_11_17_m_t2_debrief_1	[Гонка завершена.]

// HASH_VALUE 404E22E6B91CF2FB
// INDEX 6873
r_11_17_m_t2_tribechief_1	[Я здесь, чтобы пройти испытание.]

// HASH_VALUE 8F1369D124B0A1E9
// INDEX 6874
r_11_17_p_bc_back_1	[Все, что тебе осталось сделать, это вернуться в лагерь и поговорить с нашим предводителем.]

// HASH_VALUE 1FFB5AAD37CC7655
// INDEX 6875
r_11_17_p_bc_craft_1	[Великий путешественник, спаситель хоминов Офловак провел множество беглецов через радугу Элиаса. Для того, чтобы воздать дань уважения этому великому путешествию, тебе нужно изготовить пару ботинок.]

// HASH_VALUE A68D25003835D4B9
// INDEX 6876
r_11_17_p_bc_craft_2	[После того, как Офловак переместился в безопасное место, он пешком отправился назад для того, чтобы указать путь тем, кто выжил во время Нашествия.{break}По пути назад ему приходилось сражаться с китинами. Для того, чтобы воздать дань уважения его борьбе, тебе нужно сделать нагрудник.]

// HASH_VALUE 69516214EBEE2183
// INDEX 6877
r_11_17_p_bc_craft_3	[Если верить легенде, во время своего путешествия, Офловаку приходилось участвовать в многочисленных стычках с китинами. Для того, чтобы вспомнить об этих сражениях, тебе необходимо изготовить меч.]

// HASH_VALUE 87EBC0CFB1FC16C7
// INDEX 6878
r_11_17_p_bc_debrief_1	[Тебе удалось возродить часть нашей истории, $self$. Возьми этот янтарный куб, в нем содержится подробный рассказ о том, как Офловак Ридон спас такое большое количество хоминов.{break}Теперь я обучу тебя технологии файросов, позволяющей создавать огнеупорные предметы.]

// HASH_VALUE E085D76CC74F9269
// INDEX 6879
r_11_17_p_bc_next_1	[Хорошо, теперь направляйся к следующей заставе.]

// HASH_VALUE 6E47C282ED2CB7E9
// INDEX 6880
r_11_17_p_bc_tribechief_1	[- Эта область названа в честь великого файроса, который спас множество хоминов во время Великого Нашествия.\n
	- Для того, чтобы воздать уважение его памяти, мы устраиваем испытание.\n
	- Тебе нужно путешествовать по региону, останавливаясь на различных заставах и изготавливая по одному предмету на каждой остановке.\n
	- После этого, тебе нужно успеть вернуться сюда до захода солнца и принести результаты своего труда.]

// HASH_VALUE 1DE890203A6C4194
// INDEX 6881
r_11_17_p_ldf_intro_1	[Племя $faction_water$ - хранители древней традиции файросов. Традиция представляет собой что-то вроде гонки по пустыне, которая символизирует собой трудности, через которые прошли наши предки в дни Великого Нашествия.{break}Если тебе удастся пройти это испытание, тебя научат традиционной технологии, которая позволит тебе делать более прочные предметы.]

// HASH_VALUE 8A22BF4FC391816E
// INDEX 6882
r_12_18_mis_desc	[Племя Контрабандистов захватило в заложники купца Зораи, которого держат в области Источника. Его необходимо спасти и проводить в Виндермеер.]

// HASH_VALUE 765D36D400BE3507
// INDEX 6883
r_12_18_mis_title	[Обучение терпимости]

// HASH_VALUE 904EFC2A0A9FAE04
// INDEX 6884
r_12_18_m_t2_done_1	[Я вернул Зораи назад целым и невредимым.]

// HASH_VALUE C5CDBDDCB7BADA1E
// INDEX 6885
r_12_18_m_t2_traveler_1	[Я здесь, чтобы помочь.]

// HASH_VALUE 808F96273C0C6044
// INDEX 6886
r_12_18_m_t2_traveler_2	[Мне уже доводилось говорить с вождем.]

// HASH_VALUE 2F3DA412C68C7E2C
// INDEX 6887
r_12_18_m_t2_tribe_chief_1	[Я хочу поговорить с тобой.]

// HASH_VALUE 4614A302C1E07AFE
// INDEX 6888
r_12_18_o_es_back_1	[Отведите $traveler_1$ в Виндермеер.]

// HASH_VALUE 934FBEF08DDDBD29
// INDEX 6889
r_12_18_o_es_to_kami_1	[Проводите $traveler_1$ к Ками.]

// HASH_VALUE B2E967AD0EB20275
// INDEX 6890
r_12_18_o_es_to_tribe_1	[Передайте $traveler_1$ $tribe_chief_1$]

// HASH_VALUE 922B79ECB3CFA6F6
// INDEX 6891
r_12_18_o_t2_tribe_chief_1	[Поговорите с $traveler_1$ на территории племени Контрабандистов.]

// HASH_VALUE F6D1A9985DF1CD2F
// INDEX 6892
